problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,clustering_algo,num_partitions,size_of_largest_partition,partition_runtime,num_paths,edge_disjoint,dist_metric,iteration,total_flow,runtime,r1_runtime,r2_runtime,recon_runtime,r3_runtime,kirchoffs_runtime
Cogentco.graphml,197,486,1863891015,poisson,32.0,38612,48999.1484375,ncflow_edge_per_iter,fm_partitioning,42,19,0.007118,4,True,inv-cap,0,28454.374039828777,0.05190134048461914,0.01119089126586914,0.01468205451965332,0.003373861312866211,0.005443096160888672,0.017211437225341797
Cogentco.graphml,197,486,1863891015,poisson,32.0,38612,48999.1484375,ncflow_edge_per_iter,fm_partitioning,42,19,0.007118,4,True,inv-cap,1,1401.767802587773,0.07409167289733887,0.018763065338134766,0.0037610530853271484,0.04035806655883789,0.005172014236450195,0.006037473678588867
Cogentco.graphml,197,486,113766835,poisson,2.0,38612,3054.970703125,ncflow_edge_per_iter,fm_partitioning,42,19,0.00613,4,True,inv-cap,0,3054.9706640758086,0.12427067756652832,0.002593994140625,0.0158388614654541,0.0040585994720458984,0.005140066146850586,0.09663915634155273
Cogentco.graphml,197,486,1468800279,poisson,2.0,38612,3053.683349609375,ncflow_edge_per_iter,fm_partitioning,42,19,0.007201,4,True,inv-cap,0,3053.6833624094725,0.058717966079711914,0.0026099681854248047,0.016654014587402344,0.0039691925048828125,0.005385875701904297,0.030098915100097656
Colt.graphml,153,354,1128463094,uniform,32.0,23256,24224.400390625,ncflow_edge_per_iter,fm_partitioning,36,11,0.005687,4,True,inv-cap,0,14327.891078507411,0.032320261001586914,0.007157087326049805,0.004809141159057617,0.0023233890533447266,0.004024028778076172,0.014006614685058594
Colt.graphml,153,354,1128463094,uniform,32.0,23256,24224.400390625,ncflow_edge_per_iter,fm_partitioning,36,11,0.005687,4,True,inv-cap,1,577.6495007882561,0.02013397216796875,0.012002229690551758,0.0013570785522460938,0.0020990371704101562,0.0026361942291259766,0.0020394325256347656
Colt.graphml,153,354,1244806494,uniform,32.0,23256,24177.529296875,ncflow_edge_per_iter,fm_partitioning,36,11,0.005733,4,True,inv-cap,0,14273.402354455204,0.12053203582763672,0.013833999633789062,0.0052490234375,0.0022161006927490234,0.003860950469970703,0.09537196159362793
Colt.graphml,153,354,1244806494,uniform,32.0,23256,24177.529296875,ncflow_edge_per_iter,fm_partitioning,36,11,0.005733,4,True,inv-cap,1,430.59506012013503,0.013344764709472656,0.004880189895629883,0.002254009246826172,0.002123594284057617,0.0026929378509521484,0.001394033432006836
Colt.graphml,153,354,1148828272,uniform,4.0,23256,3039.8740234375,ncflow_edge_per_iter,fm_partitioning,36,11,0.004032,4,True,inv-cap,0,3039.8740226485825,0.046852827072143555,0.004875898361206055,0.009769916534423828,0.0030031204223632812,0.0036859512329101562,0.025517940521240234
Colt.graphml,153,354,1413689162,uniform,4.0,23256,3030.8798828125,ncflow_edge_per_iter,fm_partitioning,36,11,0.005803,4,True,inv-cap,0,3030.8798859804792,0.039491891860961914,0.0019409656524658203,0.009634017944335938,0.0025398731231689453,0.004539012908935547,0.020838022232055664
Colt.graphml,153,354,1146461578,uniform,64.0,23256,48369.71484375,ncflow_edge_per_iter,fm_partitioning,36,11,0.005713,4,True,inv-cap,0,20623.91879840463,0.14075422286987305,0.0159299373626709,0.0041658878326416016,0.002332448959350586,0.004085063934326172,0.11424088478088379
Colt.graphml,153,354,1146461578,uniform,64.0,23256,48369.71484375,ncflow_edge_per_iter,fm_partitioning,36,11,0.005713,4,True,inv-cap,1,812.6131090029871,0.017607927322387695,0.008774995803833008,0.0015919208526611328,0.0020751953125,0.0031020641326904297,0.002063751220703125
